state,district,subdistrict,village,latitude,longitude,geometry
Arunachal Pradesh,Tawang,Tawang Sub-Division,Gyalshing Ward-1,27.6279,91.7169,POINT(91.7169 27.6279)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Chaygaon Ward-2,27.1452,92.4881,POINT(92.4881 27.1452)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Moirang Ward-3,26.9593,93.5322,POINT(93.5322 26.9593)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Tenga Ward-4,28.1308,95.3864,POINT(95.3864 28.1308)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Tseminyu Ward-5,27.6428,93.6819,POINT(93.6819 27.6428)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Singtam Ward-6,26.0779,91.6508,POINT(91.6508 26.0779)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Singtam Ward-7,26.064,91.6662,POINT(91.6662 26.064)
Assam,Darrang,Darrang Sub-Division,Sipajhar Ward-8,26.4398,91.9184,POINT(91.9184 26.4398)
Assam,Sonitpur,Sonitpur Sub-Division,Rupa Ward-9,26.7326,92.8282,POINT(92.8282 26.7326)
Assam,Dibrugarh,Dibrugarh Sub-Division,Mangan Ward-10,27.3437,94.9604,POINT(94.9604 27.3437)
Assam,Cachar,Cachar Sub-Division,Teliamura Ward-11,24.7531,92.6592,POINT(92.6592 24.7531)
Assam,Nagaon,Nagaon Sub-Division,Nongpoh Ward-12,26.244,92.6406,POINT(92.6406 26.244)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Tseminyu Ward-13,25.6232,91.926,POINT(91.926 25.6232)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Hnahthial Ward-14,25.4987,91.191,POINT(91.191 25.4987)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Serchhip Ward-15,25.9554,91.9829,POINT(91.9829 25.9554)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Bishalgarh Ward-16,25.5415,92.1703,POINT(92.1703 25.5415)
Sikkim,East Sikkim,East Sikkim Sub-Division,Cherrapunji Ward-17,27.4518,88.5509,POINT(88.5509 27.4518)
Sikkim,North Sikkim,North Sikkim Sub-Division,Serchhip Ward-18,27.5429,88.4429,POINT(88.4429 27.5429)
Sikkim,South Sikkim,South Sikkim Sub-Division,Kalaigaon Ward-19,27.0988,88.3754,POINT(88.3754 27.0988)
Nagaland,Kohima,Kohima Sub-Division,Mairang Ward-20,25.8243,94.0001,POINT(94.0001 25.8243)
Nagaland,Dimapur,Dimapur Sub-Division,Kalaigaon Ward-21,25.7897,93.7657,POINT(93.7657 25.7897)
Nagaland,Mokokchung,Mokokchung Sub-Division,Mangan Ward-22,26.2904,94.5488,POINT(94.5488 26.2904)
Manipur,Imphal West,Imphal West Sub-Division,Lumla Ward-23,24.9252,93.7902,POINT(93.7902 24.9252)
Manipur,Bishnupur,Bishnupur Sub-Division,Dirang Ward-24,24.7077,93.8451,POINT(93.8451 24.7077)
Manipur,Senapati,Senapati Sub-Division,Kalaigaon Ward-25,25.2461,94.1461,POINT(94.1461 25.2461)
Mizoram,Aizawl,Aizawl Sub-Division,Moirang Ward-1,23.8057,92.7199,POINT(92.7199 23.8057)
Mizoram,Kolasib,Kolasib Sub-Division,Gyalshing Ward-2,24.2617,92.7127,POINT(92.7127 24.2617)
Mizoram,Lunglei,Lunglei Sub-Division,Nongpoh Ward-3,23.016,92.8667,POINT(92.8667 23.016)
Tripura,West Tripura,West Tripura Sub-Division,Moirang Ward-4,23.6873,91.4155,POINT(91.4155 23.6873)
Tripura,Sipahijala,Sipahijala Sub-Division,Gyalshing Ward-5,23.5568,91.2343,POINT(91.2343 23.5568)
Tripura,Dhalai,Dhalai Sub-Division,Lumla Ward-6,23.8458,91.7208,POINT(91.7208 23.8458)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Singtam Ward-7,27.634,91.9935,POINT(91.9935 27.634)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Chaygaon Ward-8,27.2414,92.3294,POINT(92.3294 27.2414)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Nongpoh Ward-9,27.1643,93.5863,POINT(93.5863 27.1643)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Cherrapunji Ward-10,28.0713,95.2123,POINT(95.2123 28.0713)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Singtam Ward-11,27.5662,93.8565,POINT(93.8565 27.5662)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Bishalgarh Ward-12,26.0632,91.8578,POINT(91.8578 26.0632)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Serchhip Ward-13,26.1185,91.5576,POINT(91.5576 26.1185)
Assam,Darrang,Darrang Sub-Division,Tenga Ward-14,26.4733,92.0228,POINT(92.0228 26.4733)
Assam,Sonitpur,Sonitpur Sub-Division,Jang Ward-15,26.5121,92.8403,POINT(92.8403 26.5121)
Assam,Dibrugarh,Dibrugarh Sub-Division,Dirang Ward-16,27.5415,94.964,POINT(94.964 27.5415)
Assam,Cachar,Cachar Sub-Division,Dirang Ward-17,24.7851,92.8874,POINT(92.8874 24.7851)
Assam,Nagaon,Nagaon Sub-Division,Mairang Ward-18,26.2373,92.589,POINT(92.589 26.2373)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Sipajhar Ward-19,25.5617,92.0017,POINT(92.0017 25.5617)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Kalaigaon Ward-20,25.5222,91.1144,POINT(91.1144 25.5222)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Lumla Ward-21,25.7999,91.8757,POINT(91.8757 25.7999)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Mangan Ward-22,25.3494,92.0506,POINT(92.0506 25.3494)
Sikkim,East Sikkim,East Sikkim Sub-Division,Nongpoh Ward-23,27.3254,88.5834,POINT(88.5834 27.3254)
Sikkim,North Sikkim,North Sikkim Sub-Division,Tenga Ward-24,27.5655,88.4464,POINT(88.4464 27.5655)
Sikkim,South Sikkim,South Sikkim Sub-Division,Teliamura Ward-25,27.2407,88.2183,POINT(88.2183 27.2407)
Nagaland,Kohima,Kohima Sub-Division,Dirang Ward-1,25.676,94.2144,POINT(94.2144 25.676)
Nagaland,Dimapur,Dimapur Sub-Division,Gyalshing Ward-2,26.0122,93.5981,POINT(93.5981 26.0122)
Nagaland,Mokokchung,Mokokchung Sub-Division,Nambol Ward-3,26.211,94.6371,POINT(94.6371 26.211)
Manipur,Imphal West,Imphal West Sub-Division,Teliamura Ward-4,24.6916,93.984,POINT(93.984 24.6916)
Manipur,Bishnupur,Bishnupur Sub-Division,Singtam Ward-5,24.5437,93.8294,POINT(93.8294 24.5437)
Manipur,Senapati,Senapati Sub-Division,Cherrapunji Ward-6,25.3037,93.9972,POINT(93.9972 25.3037)
Mizoram,Aizawl,Aizawl Sub-Division,Tseminyu Ward-7,23.7146,92.8671,POINT(92.8671 23.7146)
Mizoram,Kolasib,Kolasib Sub-Division,Nambol Ward-8,24.1496,92.81,POINT(92.81 24.1496)
Mizoram,Lunglei,Lunglei Sub-Division,Rupa Ward-9,22.8155,92.7215,POINT(92.7215 22.8155)
Tripura,West Tripura,West Tripura Sub-Division,Nongpoh Ward-10,23.9777,91.333,POINT(91.333 23.9777)
Tripura,Sipahijala,Sipahijala Sub-Division,Nambol Ward-11,23.7645,91.1931,POINT(91.1931 23.7645)
Tripura,Dhalai,Dhalai Sub-Division,Gyalshing Ward-12,23.7321,91.866,POINT(91.866 23.7321)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Singtam Ward-13,27.539,91.9156,POINT(91.9156 27.539)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Cherrapunji Ward-14,27.3861,92.5197,POINT(92.5197 27.3861)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Bishalgarh Ward-15,26.9636,93.5667,POINT(93.5667 26.9636)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Rupa Ward-16,28.1384,95.3415,POINT(95.3415 28.1384)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Nambol Ward-17,27.6835,93.8873,POINT(93.8873 27.6835)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Tenga Ward-18,26.1693,91.6306,POINT(91.6306 26.1693)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Teliamura Ward-19,26.3149,91.7037,POINT(91.7037 26.3149)
Assam,Darrang,Darrang Sub-Division,Lumla Ward-20,26.3769,91.9118,POINT(91.9118 26.3769)
Assam,Sonitpur,Sonitpur Sub-Division,Chumukedima Ward-21,26.776,92.8674,POINT(92.8674 26.776)
Assam,Dibrugarh,Dibrugarh Sub-Division,Chaygaon Ward-22,27.6157,95.0052,POINT(95.0052 27.6157)
Assam,Cachar,Cachar Sub-Division,Nambol Ward-23,24.9606,92.8636,POINT(92.8636 24.9606)
Assam,Nagaon,Nagaon Sub-Division,Serchhip Ward-24,26.4384,92.614,POINT(92.614 26.4384)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Hnahthial Ward-25,25.4404,91.8845,POINT(91.8845 25.4404)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Kalaigaon Ward-1,25.4516,91.3486,POINT(91.3486 25.4516)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Tseminyu Ward-2,25.8695,91.8136,POINT(91.8136 25.8695)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Sipajhar Ward-3,25.4924,92.1699,POINT(92.1699 25.4924)
Sikkim,East Sikkim,East Sikkim Sub-Division,Gyalshing Ward-4,27.2235,88.7476,POINT(88.7476 27.2235)
Sikkim,North Sikkim,North Sikkim Sub-Division,Nambol Ward-5,27.3615,88.579,POINT(88.579 27.3615)
Sikkim,South Sikkim,South Sikkim Sub-Division,Gyalshing Ward-6,27.2019,88.3534,POINT(88.3534 27.2019)
Nagaland,Kohima,Kohima Sub-Division,Tseminyu Ward-7,25.5384,94.0894,POINT(94.0894 25.5384)
Nagaland,Dimapur,Dimapur Sub-Division,Cherrapunji Ward-8,25.9726,93.8001,POINT(93.8001 25.9726)
Nagaland,Mokokchung,Mokokchung Sub-Division,Chumukedima Ward-9,26.4597,94.6462,POINT(94.6462 26.4597)
Manipur,Imphal West,Imphal West Sub-Division,Bishalgarh Ward-10,24.8829,93.8769,POINT(93.8769 24.8829)
Manipur,Bishnupur,Bishnupur Sub-Division,Tenga Ward-11,24.6916,93.7808,POINT(93.7808 24.6916)
Manipur,Senapati,Senapati Sub-Division,Tseminyu Ward-12,25.3132,94.1308,POINT(94.1308 25.3132)
Mizoram,Aizawl,Aizawl Sub-Division,Chaygaon Ward-13,23.8272,92.6588,POINT(92.6588 23.8272)
Mizoram,Kolasib,Kolasib Sub-Division,Chumukedima Ward-14,24.2664,92.6695,POINT(92.6695 24.2664)
Mizoram,Lunglei,Lunglei Sub-Division,Dirang Ward-15,22.9681,92.8779,POINT(92.8779 22.9681)
Tripura,West Tripura,West Tripura Sub-Division,Gyalshing Ward-16,23.8361,91.3267,POINT(91.3267 23.8361)
Tripura,Sipahijala,Sipahijala Sub-Division,Nambol Ward-17,23.5555,91.2551,POINT(91.2551 23.5555)
Tripura,Dhalai,Dhalai Sub-Division,Gyalshing Ward-18,23.7735,91.8425,POINT(91.8425 23.7735)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Gyalshing Ward-19,27.7019,91.8821,POINT(91.8821 27.7019)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Teliamura Ward-20,27.1877,92.4627,POINT(92.4627 27.1877)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Dirang Ward-21,27.216,93.7001,POINT(93.7001 27.216)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Tenga Ward-22,28.0714,95.1911,POINT(95.1911 28.0714)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Nongpoh Ward-23,27.44,93.8194,POINT(93.8194 27.44)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Jang Ward-24,26.2795,91.8536,POINT(91.8536 26.2795)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Cherrapunji Ward-25,26.163,91.6841,POINT(91.6841 26.163)
Assam,Darrang,Darrang Sub-Division,Bishalgarh Ward-1,26.4444,91.9588,POINT(91.9588 26.4444)
