flood_id,date,state,district,latitude,longitude,rainfall_24h_mm,river_level_m,river_distance_km,elevation_m,flood_occurred,severity,road_blocked,duration_hours,current_system_score
FL000001,2025-04-01,Arunachal Pradesh,Tawang,27.6279,91.7169,12.0,6.11,5.04,2875,0,NONE,0,0.0,0.155
FL000002,2025-04-01,Arunachal Pradesh,West Kameng,27.1452,92.4881,1.9,5.68,4.52,2209,0,NONE,0,0.0,0.362
FL000003,2025-04-01,Arunachal Pradesh,Papum Pare,26.9593,93.5322,5.2,5.56,1.31,324,0,NONE,0,0.0,0.284
FL000004,2025-04-01,Arunachal Pradesh,East Siang,28.1308,95.3864,0.6,4.07,0.53,148,0,NONE,0,0.0,0.236
FL000005,2025-04-01,Arunachal Pradesh,Lower Subansiri,27.6428,93.6819,4.1,5.66,2.82,1603,0,NONE,0,0.0,0.076
FL000006,2025-04-01,Assam,Kamrup Metropolitan,26.0779,91.6508,0.5,2.98,0.61,92,0,NONE,0,0.0,0.076
FL000007,2025-04-01,Assam,Kamrup Rural,26.064,91.6662,5.4,2.54,0.38,75,0,NONE,0,0.0,0.041
FL000008,2025-04-01,Assam,Darrang,26.4398,91.9184,0.9,3.29,0.41,110,0,NONE,0,0.0,0.332
FL000009,2025-04-02,Assam,Sonitpur,26.7326,92.8282,4.2,5.48,0.37,128,0,NONE,0,0.0,0.236
FL000010,2025-04-02,Assam,Dibrugarh,27.3437,94.9604,2.3,4.14,0.2,146,0,NONE,0,0.0,0.275
FL000011,2025-04-02,Assam,Cachar,24.7531,92.6592,6.3,3.71,0.49,20,0,NONE,0,0.0,0.027
FL000012,2025-04-02,Assam,Nagaon,26.244,92.6406,6.2,5.78,1.06,89,0,NONE,0,0.0,0.369
FL000013,2025-04-02,Meghalaya,East Khasi Hills,25.6232,91.926,13.2,4.56,2.11,1451,0,NONE,0,0.0,0.32
FL000014,2025-04-02,Meghalaya,West Khasi Hills,25.4987,91.191,1.8,3.71,1.91,1338,0,NONE,0,0.0,0.096
FL000015,2025-04-02,Meghalaya,Ri-Bhoi,25.9554,91.9829,9.7,4.94,1.78,589,0,NONE,0,0.0,0.085
FL000016,2025-04-02,Meghalaya,West Jaintia Hills,25.5415,92.1703,0.8,4.11,1.46,1278,0,NONE,0,0.0,0.086
FL000017,2025-04-02,Sikkim,East Sikkim,27.4518,88.5509,13.2,3.97,0.43,1673,0,NONE,0,0.0,0.13
FL000018,2025-04-02,Sikkim,North Sikkim,27.5429,88.4429,8.3,5.8,0.41,2407,0,NONE,0,0.0,0.209
FL000019,2025-04-03,Sikkim,South Sikkim,27.0988,88.3754,5.8,4.77,0.39,1354,0,NONE,0,0.0,0.176
FL000020,2025-04-03,Nagaland,Kohima,25.8243,94.0001,2.2,4.31,1.58,1443,0,NONE,0,0.0,0.125
FL000021,2025-04-03,Nagaland,Dimapur,25.7897,93.7657,11.8,5.61,1.04,236,0,NONE,0,0.0,0.24
FL000022,2025-04-03,Nagaland,Mokokchung,26.2904,94.5488,9.9,3.4,2.48,1319,0,NONE,0,0.0,0.07
FL000023,2025-04-03,Manipur,Imphal West,24.9252,93.7902,5.2,3.69,0.83,817,0,NONE,0,0.0,0.125
