landslide_id,date,state,district,latitude,longitude,rainfall_mm,elevation_m,slope_percent,soil_type,landslide_occurred,severity,road_blocked,duration_hours
LS000001,2025-04-01,Arunachal Pradesh,Tawang,27.6279,91.7169,12.0,2875,43.2,Gneissic_Debris,0,NONE,0,0.0
LS000002,2025-04-01,Arunachal Pradesh,West Kameng,27.1452,92.4881,1.9,2209,35.9,Schist_Shale,0,NONE,0,0.0
LS000003,2025-04-01,Arunachal Pradesh,Papum Pare,26.9593,93.5322,5.2,324,19.0,Colluvial_Soil,0,NONE,0,0.0
LS000004,2025-04-01,Arunachal Pradesh,East Siang,28.1308,95.3864,0.6,148,7.8,Alluvial_Gravel,0,NONE,0,0.0
LS000005,2025-04-01,Arunachal Pradesh,Lower Subansiri,27.6428,93.6819,4.1,1603,30.7,Schist_Shale,0,NONE,0,0.0
LS000006,2025-04-01,Assam,Kamrup Metropolitan,26.0779,91.6508,0.5,92,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000007,2025-04-01,Assam,Kamrup Rural,26.064,91.6662,5.4,75,0.4,Alluvial_Silt,0,NONE,0,0.0
LS000008,2025-04-01,Assam,Darrang,26.4398,91.9184,0.9,110,0.5,Brahmaputra_Sand_Silt,0,NONE,0,0.0
LS000009,2025-04-02,Assam,Sonitpur,26.7326,92.8282,4.2,128,1.4,Alluvial_Silt,0,NONE,0,0.0
LS000010,2025-04-02,Assam,Dibrugarh,27.3437,94.9604,2.3,146,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000011,2025-04-02,Assam,Cachar,24.7531,92.6592,6.3,20,1.6,Barak_Valley_Alluvium,0,NONE,0,0.0
LS000012,2025-04-02,Assam,Nagaon,26.244,92.6406,6.2,89,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000013,2025-04-02,Meghalaya,East Khasi Hills,25.6232,91.926,13.2,1451,30.7,Sandstone_Silt,0,NONE,0,0.0
LS000014,2025-04-02,Meghalaya,West Khasi Hills,25.4987,91.191,1.8,1338,28.7,Red_Loam,0,NONE,0,0.0
LS000015,2025-04-02,Meghalaya,Ri-Bhoi,25.9554,91.9829,9.7,589,14.3,Laterite_Clay,0,NONE,0,0.0
LS000016,2025-04-02,Meghalaya,West Jaintia Hills,25.5415,92.1703,0.8,1278,24.6,Limestone_Clay,0,NONE,0,0.0
LS000017,2025-04-02,Sikkim,East Sikkim,27.4518,88.5509,13.2,1673,42.0,Loose_Phyllite,0,NONE,0,0.0
LS000018,2025-04-02,Sikkim,North Sikkim,27.5429,88.4429,8.3,2407,47.2,Schist_Shale,0,NONE,0,0.0
LS000019,2025-04-03,Sikkim,South Sikkim,27.0988,88.3754,5.8,1354,36.6,Loose_Phyllite,0,NONE,0,0.0
LS000020,2025-04-03,Nagaland,Kohima,25.8243,94.0001,2.2,1443,33.8,Disang_Shale,0,NONE,0,0.0
LS000021,2025-04-03,Nagaland,Dimapur,25.7897,93.7657,11.8,236,4.7,Alluvial_Sandy_Loam,0,NONE,0,0.0
LS000022,2025-04-03,Nagaland,Mokokchung,26.2904,94.5488,9.9,1319,31.1,Disang_Shale,0,NONE,0,0.0
LS000023,2025-04-03,Manipur,Imphal West,24.9252,93.7902,5.2,817,0.4,Lacustrine_Alluvium,0,NONE,0,0.0
LS000024,2025-04-03,Manipur,Bishnupur,24.7077,93.8451,4.1,753,1.6,Lacustrine_Alluvium,0,NONE,0,0.0
LS000025,2025-04-03,Manipur,Senapati,25.2461,94.1461,3.3,1302,30.6,Clayey_Loam,0,NONE,0,0.0
LS000026,2025-04-03,Mizoram,Aizawl,23.8057,92.7199,11.3,1083,34.9,Siltstone_Shale,0,NONE,0,0.0
LS000027,2025-04-03,Mizoram,Kolasib,24.2617,92.7127,0.2,569,23.9,Red_Loam,0,NONE,0,0.0
LS000028,2025-04-03,Mizoram,Lunglei,23.016,92.8667,5.9,1077,29.0,Siltstone_Shale,0,NONE,0,0.0
LS000029,2025-04-04,Tripura,West Tripura,23.6873,91.4155,14.0,87,4.5,Sandy_Clay,0,NONE,0,0.0
LS000030,2025-04-04,Tripura,Sipahijala,23.5568,91.2343,0.5,44,5.2,Sandy_Clay,0,NONE,0,0.0
LS000031,2025-04-04,Tripura,Dhalai,23.8458,91.7208,8.1,177,12.2,Red_Laterite,0,NONE,0,0.0
LS000032,2025-04-04,Arunachal Pradesh,Tawang,27.634,91.9935,3.4,2861,43.3,Gneissic_Debris,0,NONE,0,0.0
LS000033,2025-04-04,Arunachal Pradesh,West Kameng,27.2414,92.3294,3.6,2209,39.3,Schist_Shale,0,NONE,0,0.0
LS000034,2025-04-04,Arunachal Pradesh,Papum Pare,27.1643,93.5863,8.5,345,19.2,Colluvial_Soil,0,NONE,0,0.0
LS000035,2025-04-04,Arunachal Pradesh,East Siang,28.0713,95.2123,12.1,123,7.0,Alluvial_Gravel,0,NONE,0,0.0
LS000036,2025-04-04,Arunachal Pradesh,Lower Subansiri,27.5662,93.8565,10.8,1500,30.3,Schist_Shale,0,NONE,0,0.0
LS000037,2025-04-04,Assam,Kamrup Metropolitan,26.0632,91.8578,11.5,105,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000038,2025-04-04,Assam,Kamrup Rural,26.1185,91.5576,8.7,67,0.4,Alluvial_Silt,0,NONE,0,0.0
LS000039,2025-04-05,Assam,Darrang,26.4733,92.0228,11.4,92,1.0,Brahmaputra_Sand_Silt,0,NONE,0,0.0
LS000040,2025-04-05,Assam,Sonitpur,26.5121,92.8403,7.6,63,1.7,Alluvial_Silt,0,NONE,0,0.0
LS000041,2025-04-05,Assam,Dibrugarh,27.5415,94.964,2.6,130,0.4,Alluvial_Clay,0,NONE,0,0.0
