terrain_id,state,district,latitude,longitude,elevation_m,slope_percent,aspect,terrain_type,river_distance_km
TR000001,Arunachal Pradesh,Tawang,27.6279,91.7169,2875,43.2,SOUTH_EAST,HIGH_ALPINE,5.04
TR000002,Arunachal Pradesh,West Kameng,27.1452,92.4881,2209,35.9,NORTH,STEEP_MOUNTAIN,4.52
TR000003,Arunachal Pradesh,Papum Pare,26.9593,93.5322,324,19.0,NORTH,DISSECTED_HILLS,1.31
TR000004,Arunachal Pradesh,East Siang,28.1308,95.3864,148,7.8,EAST,RIVER_VALLEY,0.53
TR000005,Arunachal Pradesh,Lower Subansiri,27.6428,93.6819,1603,30.7,EAST,STEEP_MOUNTAIN,2.82
TR000006,Assam,Kamrup Metropolitan,26.0779,91.6508,92,0.4,NORTH,PLAINS,0.61
TR000007,Assam,Kamrup Rural,26.064,91.6662,75,0.4,NORTH,PLAINS,0.38
TR000008,Assam,Darrang,26.4398,91.9184,110,0.5,NORTH_WEST,FLOOD_BASIN,0.41
TR000009,Assam,Sonitpur,26.7326,92.8282,128,1.4,NORTH_WEST,RIVER_VALLEY,0.37
TR000010,Assam,Dibrugarh,27.3437,94.9604,146,0.4,SOUTH_EAST,FLOOD_BASIN,0.2
TR000011,Assam,Cachar,24.7531,92.6592,20,1.6,NORTH_WEST,FLOOD_BASIN,0.49
TR000012,Assam,Nagaon,26.244,92.6406,89,0.4,WEST,PLAINS,1.06
TR000013,Meghalaya,East Khasi Hills,25.6232,91.926,1451,30.7,SOUTH_WEST,PLATEAU_ESCARPMENT,2.11
TR000014,Meghalaya,West Khasi Hills,25.4987,91.191,1338,28.7,SOUTH_WEST,PLATEAU_ESCARPMENT,1.91
TR000015,Meghalaya,Ri-Bhoi,25.9554,91.9829,589,14.3,SOUTH_WEST,DISSECTED_HILLS,1.78
TR000016,Meghalaya,West Jaintia Hills,25.5415,92.1703,1278,24.6,NORTH,DISSECTED_HILLS,1.46
TR000017,Sikkim,East Sikkim,27.4518,88.5509,1673,42.0,SOUTH,VALLEY_GORGE,0.43
TR000018,Sikkim,North Sikkim,27.5429,88.4429,2407,47.2,SOUTH,HIGH_ALPINE,0.41
TR000019,Sikkim,South Sikkim,27.0988,88.3754,1354,36.6,WEST,VALLEY_GORGE,0.39
TR000020,Nagaland,Kohima,25.8243,94.0001,1443,33.8,EAST,DISSECTED_HILLS,1.58
TR000021,Nagaland,Dimapur,25.7897,93.7657,236,4.7,EAST,PLAINS,1.04
TR000022,Nagaland,Mokokchung,26.2904,94.5488,1319,31.1,NORTH,DISSECTED_HILLS,2.48
TR000023,Manipur,Imphal West,24.9252,93.7902,817,0.4,SOUTH_EAST,RIVER_VALLEY,0.83
TR000024,Manipur,Bishnupur,24.7077,93.8451,753,1.6,WEST,RIVER_VALLEY,0.33
TR000025,Manipur,Senapati,25.2461,94.1461,1302,30.6,SOUTH_WEST,DISSECTED_HILLS,1.78
TR000026,Mizoram,Aizawl,23.8057,92.7199,1083,34.9,NORTH_WEST,RIDGE_SLOPE,1.94
TR000027,Mizoram,Kolasib,24.2617,92.7127,569,23.9,SOUTH_WEST,DISSECTED_HILLS,1.06
TR000028,Mizoram,Lunglei,23.016,92.8667,1077,29.0,SOUTH_EAST,RIDGE_SLOPE,2.46
TR000029,Tripura,West Tripura,23.6873,91.4155,87,4.5,NORTH,ROLLING_PLAINS,1.47
TR000030,Tripura,Sipahijala,23.5568,91.2343,44,5.2,EAST,ROLLING_PLAINS,2.61
TR000031,Tripura,Dhalai,23.8458,91.7208,177,12.2,NORTH_EAST,LOW_HILLS,1.43
TR000032,Arunachal Pradesh,Tawang,27.634,91.9935,2861,43.3,EAST,HIGH_ALPINE,5.52
TR000033,Arunachal Pradesh,West Kameng,27.2414,92.3294,2209,39.3,NORTH,STEEP_MOUNTAIN,4.7
TR000034,Arunachal Pradesh,Papum Pare,27.1643,93.5863,345,19.2,EAST,DISSECTED_HILLS,1.23
TR000035,Arunachal Pradesh,East Siang,28.0713,95.2123,123,7.0,NORTH,RIVER_VALLEY,0.16
TR000036,Arunachal Pradesh,Lower Subansiri,27.5662,93.8565,1500,30.3,EAST,STEEP_MOUNTAIN,2.96
TR000037,Assam,Kamrup Metropolitan,26.0632,91.8578,105,0.4,NORTH_EAST,PLAINS,0.88
TR000038,Assam,Kamrup Rural,26.1185,91.5576,67,0.4,SOUTH_EAST,PLAINS,0.96
TR000039,Assam,Darrang,26.4733,92.0228,92,1.0,EAST,FLOOD_BASIN,0.31
TR000040,Assam,Sonitpur,26.5121,92.8403,63,1.7,WEST,RIVER_VALLEY,0.55
TR000041,Assam,Dibrugarh,27.5415,94.964,130,0.4,SOUTH,FLOOD_BASIN,0.41
TR000042,Assam,Cachar,24.7851,92.8874,20,0.4,NORTH,FLOOD_BASIN,0.3
TR000043,Assam,Nagaon,26.2373,92.589,63,0.4,NORTH_EAST,PLAINS,1.05
TR000044,Meghalaya,East Khasi Hills,25.5617,92.0017,1500,28.5,NORTH_EAST,PLATEAU_ESCARPMENT,2.37
TR000045,Meghalaya,West Khasi Hills,25.5222,91.1144,1231,30.1,WEST,PLATEAU_ESCARPMENT,2.1
TR000046,Meghalaya,Ri-Bhoi,25.7999,91.8757,517,18.3,WEST,DISSECTED_HILLS,1.84
TR000047,Meghalaya,West Jaintia Hills,25.3494,92.0506,1319,24.8,EAST,DISSECTED_HILLS,1.36
TR000048,Sikkim,East Sikkim,27.3254,88.5834,1683,44.5,EAST,VALLEY_GORGE,0.21
TR000049,Sikkim,North Sikkim,27.5655,88.4464,2427,47.1,NORTH_WEST,HIGH_ALPINE,0.09
TR000050,Sikkim,South Sikkim,27.2407,88.2183,1280,34.0,SOUTH_EAST,VALLEY_GORGE,0.53
TR000051,Nagaland,Kohima,25.676,94.2144,1400,33.6,NORTH,DISSECTED_HILLS,1.88
TR000052,Nagaland,Dimapur,26.0122,93.5981,143,4.7,NORTH_EAST,PLAINS,0.8
TR000053,Nagaland,Mokokchung,26.211,94.6371,1291,31.4,SOUTH_WEST,DISSECTED_HILLS,1.88
TR000054,Manipur,Imphal West,24.6916,93.984,797,2.3,SOUTH_WEST,RIVER_VALLEY,0.86
TR000055,Manipur,Bishnupur,24.5437,93.8294,740,2.3,SOUTH_WEST,RIVER_VALLEY,0.14
TR000056,Manipur,Senapati,25.3037,93.9972,1308,30.8,NORTH,DISSECTED_HILLS,1.2
TR000057,Mizoram,Aizawl,23.7146,92.8671,1082,30.9,NORTH_WEST,RIDGE_SLOPE,1.89
TR000058,Mizoram,Kolasib,24.1496,92.81,662,22.3,WEST,DISSECTED_HILLS,1.11
TR000059,Mizoram,Lunglei,22.8155,92.7215,1029,32.5,NORTH_EAST,RIDGE_SLOPE,2.65
TR000060,Tripura,West Tripura,23.9777,91.333,20,2.9,SOUTH_EAST,ROLLING_PLAINS,1.31
TR000061,Tripura,Sipahijala,23.7645,91.1931,84,1.2,NORTH,ROLLING_PLAINS,2.63
TR000062,Tripura,Dhalai,23.7321,91.866,114,10.9,SOUTH_WEST,LOW_HILLS,1.49
TR000063,Arunachal Pradesh,Tawang,27.539,91.9156,2949,43.3,SOUTH_WEST,HIGH_ALPINE,5.27
