travel_id,road_id,timestamp,state,district,distance_km,speed_limit_kmph,average_speed_kmph,traffic_level,weather_condition,road_condition,travel_time_minutes,delay_minutes
T000001,NH-13,2026-06-18 06:00:00,Arunachal Pradesh,Tawang,15.7,35,19.2,HIGH,LIGHT_RAIN,POOR,49.1,22.2
T000002,NH-13,2026-06-18 06:02:00,Arunachal Pradesh,West Kameng,8.4,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,66.3,53.7
T000003,NH-415,2026-06-18 06:04:00,Arunachal Pradesh,Papum Pare,21.9,50,26.0,MODERATE,HEAVY_RAIN,FAIR,50.5,24.2
T000004,NH-515,2026-06-18 06:06:00,Arunachal Pradesh,East Siang,6.4,60,60.0,LOW,CLEAR,GOOD,6.4,0.0
T000005,NH-13,2026-06-18 06:08:00,Arunachal Pradesh,Lower Subansiri,9.5,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,142.5,128.2
T000006,NH-27,2026-06-18 06:10:00,Assam,Kamrup Metropolitan,13.7,80,60.0,LOW,MODERATE_RAIN,GOOD,13.7,3.4
T000007,NH-27,2026-06-18 06:12:00,Assam,Kamrup Rural,19.9,80,17.6,HIGH,TORRENTIAL_RAIN,GOOD,67.8,52.9
T000008,NH-15,2026-06-18 06:14:00,Assam,Darrang,6.7,65,48.8,LOW,MODERATE_RAIN,GOOD,8.2,2.0
T000009,NH-15,2026-06-18 06:16:00,Assam,Sonitpur,18.6,70,36.4,MODERATE,HEAVY_RAIN,GOOD,30.7,14.8
T000010,NH-37,2026-06-18 06:18:00,Assam,Dibrugarh,9.7,70,36.4,MODERATE,HEAVY_RAIN,GOOD,16.0,7.7
T000011,NH-37,2026-06-18 06:20:00,Assam,Cachar,10.0,60,52.8,LOW,LIGHT_RAIN,GOOD,11.4,1.4
T000012,NH-27,2026-06-18 06:22:00,Assam,Nagaon,15.5,75,39.0,MODERATE,HEAVY_RAIN,GOOD,23.8,11.4
T000013,NH-206,2026-06-18 06:24:00,Meghalaya,East Khasi Hills,15.4,40,16.8,HIGH,MODERATE_RAIN,POOR,55.0,31.9
T000014,NH-127B,2026-06-18 06:26:00,Meghalaya,West Khasi Hills,15.2,45,33.8,MODERATE,MODERATE_RAIN,FAIR,27.0,6.7
T000015,NH-06,2026-06-18 06:28:00,Meghalaya,Ri-Bhoi,6.9,65,65.0,LOW,CLEAR,GOOD,6.4,0.0
