road_id,road_name,state,district,start_lat,start_lon,end_lat,end_lon,length_km,road_type,surface_type,one_way,bridge,tunnel,elevation_m,slope_percent,river_crossing,road_condition,current_system_score
NH-13,Bhalukpong-Tawang Hwy Sec-1,Arunachal Pradesh,Tawang,27.6279,91.7169,27.6512,91.733,6.4,NH,Asphalt,0,0,1,2875,43.2,0,CRITICAL,0.877
NH-13,Trans-Arunachal Hwy Sec-2,Arunachal Pradesh,West Kameng,27.1452,92.4881,27.1759,92.5039,16.4,NH,Asphalt,0,0,0,2209,35.9,0,CRITICAL,0.852
NH-415,Itanagar-Naharlagun Corridor Sec-3,Arunachal Pradesh,Papum Pare,26.9593,93.5322,26.9912,93.5686,8.6,NH,Asphalt,0,0,0,324,19.0,0,FAIR,0.251
NH-515,Pasighat Corridor Sec-4,Arunachal Pradesh,East Siang,28.1308,95.3864,28.1673,95.4184,8.6,NH,Asphalt,0,1,0,148,7.8,0,GOOD,0.136
NH-13,Ziro-Yachuli Road Sec-5,Arunachal Pradesh,Lower Subansiri,27.6428,93.6819,27.678,93.7015,15.4,NH,Asphalt,0,0,0,1603,30.7,0,POOR,0.495
NH-27,East-West Corridor Sec-6,Assam,Kamrup Metropolitan,26.0779,91.6508,26.0968,91.684,16.1,NH,Concrete,1,1,0,92,0.4,0,GOOD,0.232
NH-27,Amingaon-Rangia Hwy Sec-7,Assam,Kamrup Rural,26.064,91.6662,26.1045,91.6987,6.5,NH,Concrete,1,1,0,75,0.4,0,GOOD,0.085
NH-15,North Bank Hwy Sec-8,Assam,Darrang,26.4398,91.9184,26.4701,91.9595,11.5,NH,Asphalt,0,1,0,110,0.5,0,GOOD,0.107
NH-15,Tezpur-Biswanath Hwy Sec-9,Assam,Sonitpur,26.7326,92.8282,26.7746,92.8724,13.2,NH,Asphalt,0,1,0,128,1.4,0,GOOD,0.153
NH-37,Upper Assam Hwy Sec-10,Assam,Dibrugarh,27.3437,94.9604,27.3737,94.9911,9.6,NH,Asphalt,0,1,0,146,0.4,1,POOR,0.511
NH-37,Silchar-Badarpur Corridor Sec-11,Assam,Cachar,24.7531,92.6592,24.7876,92.7003,11.0,NH,Asphalt,0,1,0,20,1.6,0,GOOD,0.092
NH-27,Kaziranga Bypass Sec-12,Assam,Nagaon,26.244,92.6406,26.2704,92.6757,5.4,NH,Concrete,1,0,0,89,0.4,0,GOOD,0.17
NH-206,Shillong-Dawki Hwy Sec-13,Meghalaya,East Khasi Hills,25.6232,91.926,25.6427,91.9593,14.3,NH,Asphalt,0,0,0,1451,30.7,0,POOR,0.47
NH-127B,Nongstoin Road Sec-14,Meghalaya,West Khasi Hills,25.4987,91.191,25.5173,91.2119,11.2,NH,Asphalt,0,0,0,1338,28.7,0,POOR,0.463
NH-06,Guwahati-Shillong Expressway Sec-15,Meghalaya,Ri-Bhoi,25.9554,91.9829,25.9875,92.0171,4.7,NH,Asphalt,0,0,0,589,14.3,0,FAIR,0.324
NH-06,Jowai Bypass Sec-16,Meghalaya,West Jaintia Hills,25.5415,92.1703,25.5789,92.2099,15.1,NH,Asphalt,0,0,0,1278,24.6,0,POOR,0.616
NH-10,Sevoke-Gangtok Hwy Sec-17,Sikkim,East Sikkim,27.4518,88.5509,27.4937,88.5881,9.4,NH,Asphalt,0,1,0,1673,42.0,0,CRITICAL,0.822
NH-310,Mangan-Chungthang Road Sec-18,Sikkim,North Sikkim,27.5429,88.4429,27.5589,88.4767,17.4,NH,Asphalt,0,1,1,2407,47.2,0,CRITICAL,0.793
NH-510,Namchi-Jorethang Rd Sec-19,Sikkim,South Sikkim,27.0988,88.3754,27.129,88.3985,17.5,NH,Asphalt,0,1,0,1354,36.6,0,POOR,0.58
NH-29,Dimapur-Kohima Corridor Sec-20,Nagaland,Kohima,25.8243,94.0001,25.8647,94.0312,5.6,NH,Asphalt,0,0,0,1443,33.8,0,POOR,0.534
NH-29,Dimapur Gateway Sec-1,Nagaland,Dimapur,25.7897,93.7657,25.8286,93.7941,11.6,NH,Asphalt,0,0,0,236,4.7,0,GOOD,0.237
NH-02,Mokokchung-Amguri Rd Sec-2,Nagaland,Mokokchung,26.2904,94.5488,26.3127,94.5877,7.0,NH,Asphalt,0,0,0,1319,31.1,0,POOR,0.463
NH-02,Imphal Ring Road Sec-3,Manipur,Imphal West,24.9252,93.7902,24.9683,93.8309,7.6,NH,Asphalt,0,0,0,817,0.4,0,GOOD,0.185
NH-02,Imphal-Churachandpur Hwy Sec-4,Manipur,Bishnupur,24.7077,93.8451,24.7442,93.8654,17.7,NH,Asphalt,0,1,0,753,1.6,1,GOOD,0.228
NH-02,Mao-Maram Highway Sec-5,Manipur,Senapati,25.2461,94.1461,25.2691,94.1694,14.5,NH,Asphalt,0,0,0,1302,30.6,0,POOR,0.635
NH-54,Silchar-Aizawl Hwy Sec-6,Mizoram,Aizawl,23.8057,92.7199,23.8427,92.7624,16.7,NH,Asphalt,0,0,0,1083,34.9,0,POOR,0.492
NH-54,Vairengte-Kolasib Corridor Sec-7,Mizoram,Kolasib,24.2617,92.7127,24.2807,92.7368,7.3,NH,Asphalt,0,0,0,569,23.9,0,FAIR,0.309
NH-54,Aizawl-Lunglei Road Sec-8,Mizoram,Lunglei,23.016,92.8667,23.0383,92.9046,10.9,NH,Asphalt,0,0,0,1077,29.0,0,POOR,0.615
NH-08,Assam-Agartala National Hwy Sec-9,Tripura,West Tripura,23.6873,91.4155,23.7052,91.4569,5.2,NH,Asphalt,0,0,0,87,4.5,0,GOOD,0.067
NH-08,Agartala-Udaipur Hwy Sec-10,Tripura,Sipahijala,23.5568,91.2343,23.574,91.2636,10.5,NH,Asphalt,0,0,0,44,5.2,0,GOOD,0.212
NH-08,Ambassa Corridor Sec-11,Tripura,Dhalai,23.8458,91.7208,23.8638,91.7535,12.6,NH,Asphalt,0,0,0,177,12.2,0,FAIR,0.394
NH-13,Bhalukpong-Tawang Hwy Sec-12,Arunachal Pradesh,Tawang,27.634,91.9935,27.658,92.0088,10.3,NH,Asphalt,0,0,1,2861,43.3,0,CRITICAL,0.861
NH-13,Trans-Arunachal Hwy Sec-13,Arunachal Pradesh,West Kameng,27.2414,92.3294,27.2835,92.366,10.5,NH,Asphalt,0,0,1,2209,39.3,0,CRITICAL,0.722
NH-415,Itanagar-Naharlagun Corridor Sec-14,Arunachal Pradesh,Papum Pare,27.1643,93.5863,27.1986,93.619,13.1,NH,Asphalt,0,0,0,345,19.2,0,FAIR,0.394
NH-515,Pasighat Corridor Sec-15,Arunachal Pradesh,East Siang,28.0713,95.2123,28.109,95.2571,7.9,NH,Asphalt,0,1,0,123,7.0,1,POOR,0.606
NH-13,Ziro-Yachuli Road Sec-16,Arunachal Pradesh,Lower Subansiri,27.5662,93.8565,27.5893,93.8904,8.9,NH,Asphalt,0,0,0,1500,30.3,0,POOR,0.641
NH-27,East-West Corridor Sec-17,Assam,Kamrup Metropolitan,26.0632,91.8578,26.0927,91.8813,13.2,NH,Concrete,0,0,0,105,0.4,0,GOOD,0.058
NH-27,Amingaon-Rangia Hwy Sec-18,Assam,Kamrup Rural,26.1185,91.5576,26.1437,91.5929,11.3,NH,Asphalt,1,0,0,67,0.4,0,GOOD,0.055
NH-15,North Bank Hwy Sec-19,Assam,Darrang,26.4733,92.0228,26.511,92.0433,4.6,NH,Asphalt,0,1,0,92,1.0,1,GOOD,0.125
NH-15,Tezpur-Biswanath Hwy Sec-20,Assam,Sonitpur,26.5121,92.8403,26.5424,92.8702,6.9,NH,Asphalt,0,1,0,63,1.7,0,GOOD,0.08
NH-37,Upper Assam Hwy Sec-1,Assam,Dibrugarh,27.5415,94.964,27.5767,94.9818,16.1,NH,Asphalt,0,1,0,130,0.4,0,GOOD,0.162
NH-37,Silchar-Badarpur Corridor Sec-2,Assam,Cachar,24.7851,92.8874,24.8207,92.9271,7.1,NH,Concrete,0,1,0,20,0.4,1,GOOD,0.233
NH-27,Kaziranga Bypass Sec-3,Assam,Nagaon,26.2373,92.589,26.2593,92.6132,8.6,NH,Asphalt,1,0,0,63,0.4,0,GOOD,0.128
NH-206,Shillong-Dawki Hwy Sec-4,Meghalaya,East Khasi Hills,25.5617,92.0017,25.5972,92.0445,7.3,NH,Asphalt,0,0,0,1500,28.5,0,POOR,0.644
NH-127B,Nongstoin Road Sec-5,Meghalaya,West Khasi Hills,25.5222,91.1144,25.5574,91.1391,7.1,NH,Asphalt,0,0,0,1231,30.1,0,POOR,0.45
NH-06,Guwahati-Shillong Expressway Sec-6,Meghalaya,Ri-Bhoi,25.7999,91.8757,25.8268,91.8959,6.6,NH,Asphalt,0,0,0,517,18.3,0,FAIR,0.284
NH-06,Jowai Bypass Sec-7,Meghalaya,West Jaintia Hills,25.3494,92.0506,25.3843,92.0754,11.5,NH,Asphalt,0,0,0,1319,24.8,0,POOR,0.457
NH-10,Sevoke-Gangtok Hwy Sec-8,Sikkim,East Sikkim,27.3254,88.5834,27.3546,88.6163,10.1,NH,Asphalt,0,1,0,1683,44.5,1,CRITICAL,0.772
NH-310,Mangan-Chungthang Road Sec-9,Sikkim,North Sikkim,27.5655,88.4464,27.6023,88.4683,8.0,NH,Asphalt,0,1,1,2427,47.1,1,CRITICAL,0.9
NH-510,Namchi-Jorethang Rd Sec-10,Sikkim,South Sikkim,27.2407,88.2183,27.2837,88.2583,9.5,NH,Asphalt,0,1,0,1280,34.0,0,POOR,0.472
NH-29,Dimapur-Kohima Corridor Sec-11,Nagaland,Kohima,25.676,94.2144,25.7002,94.2512,15.7,NH,Asphalt,0,0,0,1400,33.6,0,POOR,0.589
NH-29,Dimapur Gateway Sec-12,Nagaland,Dimapur,26.0122,93.5981,26.0367,93.6223,12.1,NH,Asphalt,0,0,0,143,4.7,0,GOOD,0.14
NH-02,Mokokchung-Amguri Rd Sec-13,Nagaland,Mokokchung,26.211,94.6371,26.2262,94.6803,5.2,NH,Asphalt,0,0,0,1291,31.4,0,POOR,0.666
NH-02,Imphal Ring Road Sec-14,Manipur,Imphal West,24.6916,93.984,24.7189,94.0184,6.4,NH,Asphalt,0,0,0,797,2.3,0,GOOD,0.075
NH-02,Imphal-Churachandpur Hwy Sec-15,Manipur,Bishnupur,24.5437,93.8294,24.5724,93.8526,15.6,NH,Asphalt,0,1,0,740,2.3,1,POOR,0.499
NH-02,Mao-Maram Highway Sec-16,Manipur,Senapati,25.3037,93.9972,25.3248,94.0321,8.0,NH,Asphalt,0,0,0,1308,30.8,0,POOR,0.457
NH-54,Silchar-Aizawl Hwy Sec-17,Mizoram,Aizawl,23.7146,92.8671,23.7546,92.8828,10.3,NH,Asphalt,0,0,0,1082,30.9,0,POOR,0.55
NH-54,Vairengte-Kolasib Corridor Sec-18,Mizoram,Kolasib,24.1496,92.81,24.1761,92.8417,14.5,NH,Asphalt,0,0,0,662,22.3,0,FAIR,0.306
NH-54,Aizawl-Lunglei Road Sec-19,Mizoram,Lunglei,22.8155,92.7215,22.8544,92.755,10.4,NH,Asphalt,0,0,0,1029,32.5,0,POOR,0.65
NH-08,Assam-Agartala National Hwy Sec-20,Tripura,West Tripura,23.9777,91.333,24.0009,91.3502,6.7,NH,Asphalt,0,0,0,20,2.9,0,GOOD,0.171
