network_id,timestamp,state,district,latitude,longitude,operator,network_type,availability_percent,signal_dbm,download_mbps,upload_mbps,latency_ms,packet_loss_percent,call_drop_percent,status,confidence
N000001,2026-06-18 08:00:00,Arunachal Pradesh,Tawang,27.6279,91.7169,Jio,3G,29,-99,0.49,0.0,547,28.2,15.5,POOR,0.95
N000002,2026-06-18 08:03:00,Arunachal Pradesh,West Kameng,27.1452,92.4881,BSNL,NO_SERVICE,18,-95,0.18,0.02,432,28.0,15.4,NO_NETWORK,0.96
N000003,2026-06-18 08:06:00,Arunachal Pradesh,Papum Pare,26.9593,93.5322,Jio,5G,98,-67,48.7,12.1,29,0.4,0.2,GOOD,0.95
N000004,2026-06-18 08:09:00,Arunachal Pradesh,East Siang,28.1308,95.3864,BSNL,4G,95,-66,38.4,41.4,22,1.2,0.7,GOOD,0.97
N000005,2026-06-18 08:12:00,Arunachal Pradesh,Lower Subansiri,27.6428,93.6819,BSNL,3G,70,-95,15.2,1.8,67,6.0,3.3,POOR,0.93
N000006,2026-06-18 08:15:00,Assam,Kamrup Metropolitan,26.0779,91.6508,Airtel,5G,97,-72,86.5,25.3,40,0.5,0.3,GOOD,0.92
N000007,2026-06-18 08:18:00,Assam,Kamrup Rural,26.064,91.6662,BSNL,5G,92,-66,93.2,15.1,35,0.7,0.4,GOOD,0.95
N000008,2026-06-18 08:21:00,Assam,Darrang,26.4398,91.9184,Airtel,4G,99,-65,128.2,26.1,26,1.2,0.7,GOOD,0.97
N000009,2026-06-18 08:24:00,Assam,Sonitpur,26.7326,92.8282,Jio,5G,100,-56,123.6,10.3,44,0.3,0.2,GOOD,0.91
N000010,2026-06-18 08:27:00,Assam,Dibrugarh,27.3437,94.9604,Airtel,5G,96,-56,87.7,37.8,40,0.8,0.4,GOOD,0.86
N000011,2026-06-18 08:30:00,Assam,Cachar,24.7531,92.6592,BSNL,5G,96,-54,117.3,25.2,38,0.9,0.5,GOOD,0.87
N000012,2026-06-18 08:33:00,Assam,Nagaon,26.244,92.6406,BSNL,4G,95,-57,91.0,37.3,22,0.1,0.1,GOOD,0.9
N000013,2026-06-18 08:36:00,Meghalaya,East Khasi Hills,25.6232,91.926,Airtel,3G,79,-78,4.1,2.2,110,5.9,3.2,POOR,0.87
N000014,2026-06-18 08:39:00,Meghalaya,West Khasi Hills,25.4987,91.191,BSNL,4G,74,-98,6.6,3.6,136,2.3,1.3,OK,0.97
N000015,2026-06-18 08:42:00,Meghalaya,Ri-Bhoi,25.9554,91.9829,BSNL,5G,98,-54,80.7,18.7,25,0.4,0.2,GOOD,0.91
N000016,2026-06-18 08:45:00,Meghalaya,West Jaintia Hills,25.5415,92.1703,Airtel,4G,85,-90,15.1,1.7,67,2.9,1.6,OK,0.85
N000017,2026-06-18 08:48:00,Sikkim,East Sikkim,27.4518,88.5509,BSNL,4G,72,-98,11.3,1.5,103,1.9,1.0,OK,0.89
N000018,2026-06-18 08:51:00,Sikkim,North Sikkim,27.5429,88.4429,BSNL,NO_SERVICE,42,-98,0.3,0.51,430,18.5,10.2,NO_NETWORK,0.89
N000019,2026-06-18 08:54:00,Sikkim,South Sikkim,27.0988,88.3754,BSNL,3G,66,-91,8.0,2.3,98,6.2,3.4,POOR,0.93
N000020,2026-06-18 08:57:00,Nagaland,Kohima,25.8243,94.0001,Jio,3G,65,-87,13.5,1.8,94,4.4,2.4,POOR,0.92
N000021,2026-06-18 09:00:00,Nagaland,Dimapur,25.7897,93.7657,BSNL,5G,93,-64,51.8,24.1,20,0.9,0.5,GOOD,0.89
N000022,2026-06-18 09:03:00,Nagaland,Mokokchung,26.2904,94.5488,BSNL,2G,80,-98,6.7,4.4,83,6.1,3.4,POOR,0.87
N000023,2026-06-18 09:06:00,Manipur,Imphal West,24.9252,93.7902,Jio,4G,75,-87,7.5,3.2,120,5.6,3.1,OK,0.96
N000024,2026-06-18 09:09:00,Manipur,Bishnupur,24.7077,93.8451,Airtel,4G,92,-71,49.3,37.6,24,0.8,0.4,GOOD,0.95
N000025,2026-06-18 09:12:00,Manipur,Senapati,25.2461,94.1461,Airtel,3G,74,-97,11.3,2.1,82,4.0,2.2,POOR,0.94
N000026,2026-06-18 09:15:00,Mizoram,Aizawl,23.8057,92.7199,Airtel,4G,76,-86,8.1,2.4,88,3.0,1.7,OK,0.92
N000027,2026-06-18 09:18:00,Mizoram,Kolasib,24.2617,92.7127,Airtel,5G,95,-69,40.3,25.8,34,0.6,0.3,GOOD,0.89
N000028,2026-06-18 09:21:00,Mizoram,Lunglei,23.016,92.8667,BSNL,2G,75,-98,13.0,4.2,97,2.9,1.6,POOR,0.92
N000029,2026-06-18 09:24:00,Tripura,West Tripura,23.6873,91.4155,BSNL,5G,95,-61,77.8,34.5,26,1.3,0.7,GOOD,0.86
N000030,2026-06-18 09:27:00,Tripura,Sipahijala,23.5568,91.2343,BSNL,4G,96,-55,78.7,12.0,45,1.3,0.7,GOOD,0.93
N000031,2026-06-18 09:30:00,Tripura,Dhalai,23.8458,91.7208,Airtel,5G,96,-72,105.5,22.4,46,0.2,0.1,GOOD,0.89
N000032,2026-06-18 09:33:00,Arunachal Pradesh,Tawang,27.634,91.9935,Jio,2G,28,-108,0.63,0.26,446,22.5,12.4,POOR,0.87
N000033,2026-06-18 09:36:00,Arunachal Pradesh,West Kameng,27.2414,92.3294,Jio,NO_SERVICE,40,-104,0.34,0.38,381,30.2,16.6,NO_NETWORK,0.86
N000034,2026-06-18 09:39:00,Arunachal Pradesh,Papum Pare,27.1643,93.5863,BSNL,4G,99,-62,95.7,41.8,19,1.1,0.6,GOOD,0.97
N000035,2026-06-18 09:42:00,Arunachal Pradesh,East Siang,28.0713,95.2123,BSNL,5G,95,-72,91.1,23.1,29,0.3,0.2,GOOD,0.93
N000036,2026-06-18 09:45:00,Arunachal Pradesh,Lower Subansiri,27.5662,93.8565,BSNL,4G,73,-78,5.3,1.2,88,5.4,3.0,OK,0.91
N000037,2026-06-18 09:48:00,Assam,Kamrup Metropolitan,26.0632,91.8578,Jio,4G,97,-68,70.0,37.3,36,0.9,0.5,GOOD,0.93
N000038,2026-06-18 09:51:00,Assam,Kamrup Rural,26.1185,91.5576,Jio,5G,98,-61,116.8,41.4,33,1.2,0.7,GOOD,0.95
N000039,2026-06-18 09:54:00,Assam,Darrang,26.4733,92.0228,Jio,4G,95,-52,66.1,40.3,33,0.2,0.1,GOOD,0.86
N000040,2026-06-18 09:57:00,Assam,Sonitpur,26.5121,92.8403,Jio,5G,99,-75,34.1,37.5,37,1.4,0.8,GOOD,0.92
N000041,2026-06-18 10:00:00,Assam,Dibrugarh,27.5415,94.964,Airtel,4G,100,-71,122.2,22.0,22,0.4,0.2,GOOD,0.86
N000042,2026-06-18 10:03:00,Assam,Cachar,24.7851,92.8874,Jio,4G,97,-54,124.1,25.4,33,0.4,0.2,GOOD,0.89
N000043,2026-06-18 10:06:00,Assam,Nagaon,26.2373,92.589,Airtel,4G,99,-64,51.2,40.2,21,0.6,0.3,GOOD,0.92
N000044,2026-06-18 10:09:00,Meghalaya,East Khasi Hills,25.5617,92.0017,Jio,4G,81,-93,11.1,4.3,65,4.7,2.6,OK,0.95
N000045,2026-06-18 10:12:00,Meghalaya,West Khasi Hills,25.5222,91.1144,BSNL,2G,73,-92,14.9,3.5,115,3.1,1.7,POOR,0.95
N000046,2026-06-18 10:15:00,Meghalaya,Ri-Bhoi,25.7999,91.8757,BSNL,5G,95,-65,91.3,35.7,28,1.2,0.7,GOOD,0.87
N000047,2026-06-18 10:18:00,Meghalaya,West Jaintia Hills,25.3494,92.0506,Airtel,2G,74,-88,5.8,4.3,82,5.7,3.1,POOR,0.91
N000048,2026-06-18 10:21:00,Sikkim,East Sikkim,27.3254,88.5834,Airtel,2G,84,-81,13.9,4.6,117,5.3,2.9,POOR,0.86
N000049,2026-06-18 10:24:00,Sikkim,North Sikkim,27.5655,88.4464,Airtel,NO_SERVICE,52,-113,0.17,0.23,432,17.4,9.6,NO_NETWORK,0.87
N000050,2026-06-18 10:27:00,Sikkim,South Sikkim,27.2407,88.2183,BSNL,2G,79,-78,11.8,4.7,109,4.6,2.5,POOR,0.96
N000051,2026-06-18 10:30:00,Nagaland,Kohima,25.676,94.2144,Jio,3G,80,-83,12.8,1.3,100,3.4,1.9,POOR,0.97
N000052,2026-06-18 10:33:00,Nagaland,Dimapur,26.0122,93.5981,Jio,4G,99,-58,89.0,32.0,22,0.7,0.4,GOOD,0.87
N000053,2026-06-18 10:36:00,Nagaland,Mokokchung,26.211,94.6371,Jio,4G,78,-80,11.9,1.4,116,2.8,1.5,OK,0.86
N000054,2026-06-18 10:39:00,Manipur,Imphal West,24.6916,93.984,Jio,5G,95,-70,93.2,36.2,35,0.9,0.5,GOOD,0.86
N000055,2026-06-18 10:42:00,Manipur,Bishnupur,24.5437,93.8294,BSNL,4G,95,-52,95.8,21.0,31,0.4,0.2,GOOD,0.87
N000056,2026-06-18 10:45:00,Manipur,Senapati,25.3037,93.9972,Airtel,2G,82,-84,14.8,1.6,114,2.5,1.4,POOR,0.93
N000057,2026-06-18 10:48:00,Mizoram,Aizawl,23.7146,92.8671,BSNL,2G,79,-83,6.6,4.0,79,6.2,3.4,POOR,0.9
N000058,2026-06-18 10:51:00,Mizoram,Kolasib,24.1496,92.81,BSNL,4G,96,-70,58.6,38.7,34,0.5,0.3,GOOD,0.98
