weather_id,timestamp,state,district,latitude,longitude,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_3day_mm,temperature_c,humidity_percent,wind_speed_kmph,pressure_hpa,weather_condition
W000001,2025-04-01 06:00:00,Arunachal Pradesh,Tawang,27.6279,91.7169,1.8,7.7,12.0,32.7,10.2,70,37.4,731.5,LIGHT_RAIN
W000002,2025-04-01 08:24:00,Arunachal Pradesh,West Kameng,27.1452,92.4881,0.6,1.6,1.9,6.2,10.3,50,16.0,796.7,LIGHT_RAIN
W000003,2025-04-01 10:48:00,Arunachal Pradesh,Papum Pare,26.9593,93.5322,1.3,3.4,5.2,12.5,25.4,59,39.9,981.4,LIGHT_RAIN
W000004,2025-04-01 13:12:00,Arunachal Pradesh,East Siang,28.1308,95.3864,0.2,0.4,0.6,1.3,31.5,48,18.1,998.7,CLEAR
W000005,2025-04-01 15:36:00,Arunachal Pradesh,Lower Subansiri,27.6428,93.6819,1.2,3.2,4.1,10.1,9.7,71,23.9,856.1,LIGHT_RAIN
W000006,2025-04-01 18:00:00,Assam,Kamrup Metropolitan,26.0779,91.6508,0.1,0.3,0.5,1.3,22.8,63,12.2,1004.2,CLEAR
W000007,2025-04-01 20:24:00,Assam,Kamrup Rural,26.064,91.6662,1.0,3.8,5.4,14.6,30.3,54,30.6,1005.9,LIGHT_RAIN
W000008,2025-04-01 22:48:00,Assam,Darrang,26.4398,91.9184,0.1,0.5,0.9,3.0,28.9,71,38.2,1002.4,CLEAR
W000009,2025-04-02 01:12:00,Assam,Sonitpur,26.7326,92.8282,0.6,2.4,4.2,13.3,31.2,68,21.0,1000.7,LIGHT_RAIN
W000010,2025-04-02 03:36:00,Assam,Dibrugarh,27.3437,94.9604,0.4,1.3,2.3,7.0,30.9,60,13.0,998.9,LIGHT_RAIN
W000011,2025-04-02 06:00:00,Assam,Cachar,24.7531,92.6592,1.6,4.9,6.3,21.4,27.8,60,12.6,1011.2,LIGHT_RAIN
W000012,2025-04-02 08:24:00,Assam,Nagaon,26.244,92.6406,2.0,4.5,6.2,13.1,34.3,73,32.0,1004.5,LIGHT_RAIN
W000013,2025-04-02 10:48:00,Meghalaya,East Khasi Hills,25.6232,91.926,2.2,8.8,13.2,43.3,28.2,68,20.2,871.0,LIGHT_RAIN
W000014,2025-04-02 13:12:00,Meghalaya,West Khasi Hills,25.4987,91.191,0.6,1.1,1.8,4.8,28.2,49,38.5,882.1,LIGHT_RAIN
W000015,2025-04-02 15:36:00,Meghalaya,Ri-Bhoi,25.9554,91.9829,2.9,6.4,9.7,32.1,34.9,65,15.9,955.5,LIGHT_RAIN
W000016,2025-04-02 18:00:00,Meghalaya,West Jaintia Hills,25.5415,92.1703,0.2,0.5,0.8,1.8,22.1,71,31.4,888.0,CLEAR
W000017,2025-04-02 20:24:00,Sikkim,East Sikkim,27.4518,88.5509,3.4,6.7,13.2,29.0,11.3,50,38.8,849.2,LIGHT_RAIN
W000018,2025-04-02 22:48:00,Sikkim,North Sikkim,27.5429,88.4429,1.9,6.9,8.3,25.4,10.1,68,33.1,777.3,LIGHT_RAIN
W000019,2025-04-03 01:12:00,Sikkim,South Sikkim,27.0988,88.3754,0.8,3.7,5.8,16.2,28.0,69,19.7,880.5,LIGHT_RAIN
W000020,2025-04-03 03:36:00,Nagaland,Kohima,25.8243,94.0001,0.7,1.5,2.2,7.0,25.1,71,16.8,871.8,LIGHT_RAIN
W000021,2025-04-03 06:00:00,Nagaland,Dimapur,25.7897,93.7657,2.7,9.4,11.8,35.7,23.7,69,14.1,990.1,LIGHT_RAIN
W000022,2025-04-03 08:24:00,Nagaland,Mokokchung,26.2904,94.5488,1.6,7.0,9.9,26.0,23.4,50,23.8,883.9,LIGHT_RAIN
W000023,2025-04-03 10:48:00,Manipur,Imphal West,24.9252,93.7902,1.7,3.2,5.2,10.8,28.4,60,9.9,933.1,LIGHT_RAIN
W000024,2025-04-03 13:12:00,Manipur,Bishnupur,24.7077,93.8451,1.1,2.8,4.1,8.5,25.5,64,27.6,939.4,LIGHT_RAIN
W000025,2025-04-03 15:36:00,Manipur,Senapati,25.2461,94.1461,0.7,2.7,3.3,10.4,34.4,48,27.9,885.6,LIGHT_RAIN
W000026,2025-04-03 18:00:00,Mizoram,Aizawl,23.8057,92.7199,1.8,9.1,11.3,34.1,34.9,77,35.0,907.1,LIGHT_RAIN
W000027,2025-04-03 20:24:00,Mizoram,Kolasib,24.2617,92.7127,0.1,0.2,0.2,0.4,27.2,62,10.6,957.4,CLEAR
W000028,2025-04-03 22:48:00,Mizoram,Lunglei,23.016,92.8667,0.7,2.8,5.9,15.3,33.5,48,15.3,907.7,LIGHT_RAIN
W000029,2025-04-04 01:12:00,Tripura,West Tripura,23.6873,91.4155,3.0,7.4,14.0,45.2,22.5,58,8.4,1004.7,LIGHT_RAIN
W000030,2025-04-04 03:36:00,Tripura,Sipahijala,23.5568,91.2343,0.1,0.2,0.5,1.3,28.0,55,17.5,1008.9,CLEAR
W000031,2025-04-04 06:00:00,Tripura,Dhalai,23.8458,91.7208,2.6,6.4,8.1,20.7,29.3,71,22.7,995.9,LIGHT_RAIN
